gzip

s01 ['s01', 's01', 's01', 's01', 's01', 's01', 's01'] Recall: 100.00% Accuracy: 100.00%
s31 ['s31', 's31', 's14', 's14', 's14', 's14', 's31'] Recall: 42.86% Accuracy: 98.57%
s32 ['s32', 's13', 's19', 's15', 's32', 's32', 's19'] Recall: 42.86% Accuracy: 98.57%
s33 ['s22', 's22', 's22', 's22', 's22', 's22', 's22'] Recall: 0.00% Accuracy: 96.07%
s34 ['s34', 's30', 's34', 's30', 's34', 's34', 's34'] Recall: 71.43% Accuracy: 99.29%
s35 ['s23', 's18', 's25', 's25', 's40', 's13', 's25'] Recall: 0.00% Accuracy: 96.79%
s36 ['s07', 's07', 's36', 's36', 's07', 's28', 's11'] Recall: 28.57% Accuracy: 97.50%
s37 ['s13', 's13', 's13', 's25', 's13', 's25', 's25'] Recall: 0.00% Accuracy: 97.14%
s38 ['s28', 's38', 's28', 's38', 's28', 's28', 's28'] Recall: 28.57% Accuracy: 96.79%
s39 ['s39', 's39', 's39', 's21', 's21', 's39', 's39'] Recall: 71.43% Accuracy: 98.93%
s40 ['s25', 's05', 's05', 's25', 's25', 's18', 's05'] Recall: 0.00% Accuracy: 97.14%
Average recall: 38.57%
Average accuracy: 96.93%

bzip2

s01 ['s35', 's01', 's01', 's01', 's01', 's01', 's36'] Recall: 71.43% Accuracy: 99.29%
s02 ['s02', 's02', 's02', 's02', 's02', 's02', 's02'] Recall: 100.00% Accuracy: 100.00%
s03 ['s25', 's25', 's25', 's25', 's25', 's25', 's03'] Recall: 14.29% Accuracy: 94.64%
s04 ['s23', 's23', 's25', 's25', 's04', 's04', 's25'] Recall: 28.57% Accuracy: 98.21%
s05 ['s05', 's25', 's25', 's05', 's25', 's40', 's40'] Recall: 28.57% Accuracy: 97.14%
s06 ['s36', 's17', 's17', 's17', 's17', 's19', 's17'] Recall: 0.00% Accuracy: 97.50%
s07 ['s36', 's36', 's07', 's07', 's07', 's07', 's36'] Recall: 57.14% Accuracy: 98.93%
s08 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 100.00% Accuracy: 96.43%
s09 ['s38', 's40', 's38', 's38', 's38', 's38', 's35'] Recall: 0.00% Accuracy: 97.14%
s10 ['s10', 's38', 's08', 's08', 's08', 's08', 's08'] Recall: 14.29% Accuracy: 97.86%
s11 ['s11', 's11', 's11', 's11', 's11', 's11', 's11'] Recall: 100.00% Accuracy: 100.00%
s12 ['s12', 's12', 's12', 's25', 's25', 's12', 's25'] Recall: 57.14% Accuracy: 98.93%
s13 ['s25', 's25', 's25', 's25', 's25', 's18', 's18'] Recall: 0.00% Accuracy: 97.50%
s14 ['s14', 's27', 's14', 's14', 's14', 's14', 's14'] Recall: 85.71% Accuracy: 99.64%
s15 ['s15', 's25', 's15', 's25', 's15', 's25', 's25'] Recall: 42.86% Accuracy: 98.57%
s16 ['s36', 's36', 's24', 's16', 's16', 's16', 's16'] Recall: 57.14% Accuracy: 98.57%
s17 ['s17', 's17', 's17', 's17', 's17', 's17', 's17'] Recall: 100.00% Accuracy: 98.21%
s18 ['s18', 's18', 's18', 's18', 's18', 's18', 's18'] Recall: 100.00% Accuracy: 98.57%
s19 ['s08', 's08', 's19', 's08', 's08', 's19', 's19'] Recall: 42.86% Accuracy: 97.86%
s20 ['s25', 's18', 's20', 's20', 's20', 's18', 's20'] Recall: 57.14% Accuracy: 98.21%
s21 ['s25', 's35', 's35', 's09', 's25', 's25', 's23'] Recall: 0.00% Accuracy: 97.50%
s22 ['s22', 's22', 's22', 's22', 's22', 's22', 's22'] Recall: 100.00% Accuracy: 100.00%
s23 ['s05', 's23', 's23', 's03', 's23', 's25', 's08'] Recall: 42.86% Accuracy: 97.14%
s24 ['s24', 's19', 's24', 's24', 's24', 's24', 's24'] Recall: 85.71% Accuracy: 98.93%
s25 ['s25', 's25', 's25', 's25', 's25', 's25', 's25'] Recall: 100.00% Accuracy: 82.50%
s26 ['s03', 's25', 's25', 's25', 's03', 's25', 's25'] Recall: 0.00% Accuracy: 97.50%
s27 ['s27', 's27', 's27', 's27', 's27', 's27', 's27'] Recall: 100.00% Accuracy: 99.64%
s28 ['s37', 's28', 's28', 's28', 's25', 's28', 's28'] Recall: 71.43% Accuracy: 99.29%
s29 ['s23', 's30', 's25', 's25', 's20', 's29', 's29'] Recall: 28.57% Accuracy: 98.21%
s30 ['s30', 's30', 's30', 's30', 's30', 's30', 's30'] Recall: 100.00% Accuracy: 98.57%
s31 ['s31', 's31', 's25', 's05', 's25', 's30', 's31'] Recall: 42.86% Accuracy: 98.57%
s32 ['s32', 's32', 's32', 's32', 's32', 's32', 's32'] Recall: 100.00% Accuracy: 100.00%
s33 ['s33', 's30', 's33', 's33', 's30', 's24', 's33'] Recall: 57.14% Accuracy: 98.93%
s34 ['s34', 's34', 's34', 's20', 's34', 's34', 's34'] Recall: 85.71% Accuracy: 99.64%
s35 ['s35', 's25', 's25', 's05', 's25', 's25', 's25'] Recall: 14.29% Accuracy: 95.71%
s36 ['s36', 's36', 's36', 's36', 's36', 's36', 's16'] Recall: 85.71% Accuracy: 96.43%
s37 ['s37', 's37', 's36', 's37', 's36', 's37', 's37'] Recall: 71.43% Accuracy: 98.93%
s38 ['s38', 's03', 's38', 's03', 's38', 's38', 's38'] Recall: 71.43% Accuracy: 97.14%
s39 ['s39', 's03', 's35', 's35', 's03', 's03', 's03'] Recall: 14.29% Accuracy: 97.86%
s40 ['s25', 's40', 's25', 's25', 's25', 's25', 's40'] Recall: 28.57% Accuracy: 97.14%
Average recall: 56.43%
Average accuracy: 97.82%

lzma

s01 ['s08', 's01', 's08', 's08', 's01', 's01', 's23'] Recall: 42.86% Accuracy: 92.50%
s02 ['s02', 's23', 's02', 's02', 's02', 's02', 's38'] Recall: 71.43% Accuracy: 99.29%
s03 ['s08', 's08', 's08', 's08', 's08', 's08', 's13'] Recall: 0.00% Accuracy: 96.43%
s04 ['s08', 's23', 's08', 's08', 's08', 's08', 's23'] Recall: 0.00% Accuracy: 97.14%
s05 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 95.71%
s06 ['s05', 's05', 's05', 's08', 's35', 's05', 's05'] Recall: 0.00% Accuracy: 97.50%
s07 ['s08', 's23', 's08', 's04', 's09', 's08', 's09'] Recall: 0.00% Accuracy: 97.50%
s08 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 100.00% Accuracy: 59.64%
s09 ['s08', 's08', 's08', 's23', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 95.71%
s10 ['s23', 's01', 's23', 's08', 's08', 's01', 's08'] Recall: 0.00% Accuracy: 97.50%
s11 ['s01', 's11', 's11', 's01', 's01', 's01', 's01'] Recall: 28.57% Accuracy: 97.14%
s12 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
s13 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 94.64%
s14 ['s08', 's26', 's01', 's11', 's01', 's01', 's01'] Recall: 0.00% Accuracy: 97.50%
s15 ['s26', 's23', 's38', 's08', 's38', 's08', 's08'] Recall: 0.00% Accuracy: 97.14%
s16 ['s11', 's01', 's38', 's23', 's23', 's23', 's16'] Recall: 14.29% Accuracy: 97.86%
s17 ['s17', 's17', 's09', 's23', 's23', 's08', 's23'] Recall: 28.57% Accuracy: 98.21%
s18 ['s08', 's08', 's08', 's38', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
s19 ['s08', 's38', 's01', 's08', 's08', 's08', 's19'] Recall: 14.29% Accuracy: 96.79%
s20 ['s23', 's35', 's26', 's08', 's26', 's08', 's28'] Recall: 0.00% Accuracy: 97.50%
s21 ['s23', 's13', 's26', 's30', 's26', 's13', 's26'] Recall: 0.00% Accuracy: 97.50%
s22 ['s39', 's23', 's39', 's39', 's23', 's23', 's23'] Recall: 0.00% Accuracy: 97.50%
s23 ['s08', 's23', 's23', 's23', 's08', 's08', 's08'] Recall: 42.86% Accuracy: 79.29%
s24 ['s11', 's26', 's26', 's03', 's15', 's23', 's38'] Recall: 0.00% Accuracy: 97.50%
s25 ['s08', 's08', 's08', 's23', 's08', 's23', 's08'] Recall: 0.00% Accuracy: 97.50%
s26 ['s08', 's08', 's23', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 92.86%
s27 ['s01', 's13', 's01', 's01', 's08', 's08', 's01'] Recall: 0.00% Accuracy: 97.50%
s28 ['s08', 's13', 's08', 's13', 's08', 's23', 's08'] Recall: 0.00% Accuracy: 97.14%
s29 ['s09', 's23', 's38', 's23', 's23', 's39', 's39'] Recall: 0.00% Accuracy: 97.50%
s30 ['s30', 's30', 's30', 's23', 's23', 's23', 's30'] Recall: 57.14% Accuracy: 97.14%
s31 ['s38', 's23', 's38', 's23', 's26', 's23', 's38'] Recall: 0.00% Accuracy: 97.50%
s32 ['s08', 's19', 's19', 's23', 's19', 's08', 's26'] Recall: 0.00% Accuracy: 97.50%
s33 ['s23', 's30', 's23', 's30', 's23', 's30', 's30'] Recall: 0.00% Accuracy: 97.50%
s34 ['s23', 's08', 's23', 's08', 's03', 's23', 's08'] Recall: 0.00% Accuracy: 97.50%
s35 ['s08', 's08', 's08', 's23', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 96.79%
s36 ['s23', 's09', 's08', 's26', 's23', 's23', 's26'] Recall: 0.00% Accuracy: 97.50%
s37 ['s08', 's13', 's23', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
s38 ['s38', 's08', 's08', 's08', 's23', 's23', 's13'] Recall: 14.29% Accuracy: 93.93%
s39 ['s39', 's23', 's23', 's23', 's23', 's23', 's03'] Recall: 14.29% Accuracy: 96.07%
s40 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
Average recall: 10.71%
Average accuracy: 95.54%

zlib

s01 ['s01', 's01', 's01', 's01', 's01', 's01', 's01'] Recall: 100.00% Accuracy: 100.00%
s02 ['s02', 's02', 's02', 's02', 's02', 's02', 's02'] Recall: 100.00% Accuracy: 100.00%
s03 ['s25', 's25', 's13', 's12', 's13', 's13', 's25'] Recall: 0.00% Accuracy: 97.50%
s04 ['s28', 's28', 's28', 's28', 's28', 's28', 's28'] Recall: 0.00% Accuracy: 97.50%
s05 ['s05', 's18', 's05', 's05', 's25', 's05', 's18'] Recall: 57.14% Accuracy: 97.14%
s06 ['s06', 's35', 's06', 's06', 's06', 's06', 's06'] Recall: 85.71% Accuracy: 99.64%
s07 ['s07', 's07', 's07', 's07', 's07', 's07', 's07'] Recall: 100.00% Accuracy: 98.21%
s08 ['s08', 's08', 's08', 's37', 's08', 's08', 's28'] Recall: 71.43% Accuracy: 91.43%
s09 ['s14', 's38', 's11', 's38', 's14', 's10', 's10'] Recall: 0.00% Accuracy: 97.50%
s10 ['s08', 's11', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 96.07%
s11 ['s11', 's11', 's11', 's08', 's11', 's08', 's11'] Recall: 71.43% Accuracy: 96.43%
s12 ['s13', 's25', 's13', 's25', 's13', 's25', 's25'] Recall: 0.00% Accuracy: 97.14%
s13 ['s13', 's13', 's13', 's13', 's13', 's13', 's13'] Recall: 100.00% Accuracy: 94.29%
s14 ['s08', 's19', 's08', 's08', 's19', 's08', 's08'] Recall: 0.00% Accuracy: 95.36%
s15 ['s15', 's35', 's15', 's05', 's15', 's23', 's23'] Recall: 42.86% Accuracy: 98.21%
s16 ['s11', 's07', 's36', 's36', 's16', 's16', 's16'] Recall: 42.86% Accuracy: 98.57%
s17 ['s17', 's19', 's17', 's28', 's07', 's17', 's28'] Recall: 42.86% Accuracy: 98.57%
s18 ['s18', 's18', 's18', 's18', 's18', 's18', 's18'] Recall: 100.00% Accuracy: 98.57%
s19 ['s19', 's19', 's19', 's19', 's19', 's19', 's19'] Recall: 100.00% Accuracy: 98.21%
s20 ['s10', 's11', 's10', 's11', 's11', 's11', 's20'] Recall: 14.29% Accuracy: 96.79%
s21 ['s23', 's28', 's28', 's28', 's33', 's28', 's28'] Recall: 0.00% Accuracy: 96.79%
s22 ['s29', 's22', 's22', 's22', 's29', 's29', 's22'] Recall: 57.14% Accuracy: 93.57%
s23 ['s23', 's23', 's23', 's23', 's28', 's26', 's26'] Recall: 57.14% Accuracy: 97.14%
s24 ['s20', 's33', 's20', 's20', 's22', 's22', 's33'] Recall: 0.00% Accuracy: 96.79%
s25 ['s25', 's25', 's25', 's25', 's25', 's25', 's25'] Recall: 100.00% Accuracy: 91.79%
s26 ['s25', 's25', 's25', 's05', 's25', 's13', 's25'] Recall: 0.00% Accuracy: 96.79%
s27 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 0.00% Accuracy: 97.50%
s28 ['s13', 's13', 's13', 's08', 's23', 's08', 's25'] Recall: 0.00% Accuracy: 89.64%
s29 ['s22', 's24', 's24', 's33', 's22', 's29', 's39'] Recall: 14.29% Accuracy: 96.79%
s30 ['s22', 's22', 's30', 's22', 's22', 's38', 's38'] Recall: 14.29% Accuracy: 97.14%
s31 ['s31', 's31', 's14', 's14', 's14', 's14', 's31'] Recall: 42.86% Accuracy: 98.57%
s32 ['s32', 's13', 's19', 's15', 's32', 's32', 's19'] Recall: 42.86% Accuracy: 98.57%
s33 ['s22', 's22', 's22', 's22', 's22', 's22', 's22'] Recall: 0.00% Accuracy: 96.07%
s34 ['s34', 's30', 's34', 's30', 's34', 's34', 's34'] Recall: 71.43% Accuracy: 99.29%
s35 ['s23', 's18', 's25', 's25', 's40', 's13', 's25'] Recall: 0.00% Accuracy: 96.79%
s36 ['s07', 's07', 's36', 's36', 's07', 's28', 's11'] Recall: 28.57% Accuracy: 97.50%
s37 ['s13', 's13', 's13', 's25', 's13', 's25', 's25'] Recall: 0.00% Accuracy: 97.14%
s38 ['s28', 's38', 's28', 's38', 's28', 's28', 's28'] Recall: 28.57% Accuracy: 96.79%
s39 ['s39', 's39', 's39', 's21', 's21', 's39', 's39'] Recall: 71.43% Accuracy: 98.93%
s40 ['s25', 's05', 's05', 's25', 's25', 's18', 's05'] Recall: 0.00% Accuracy: 97.14%
Average recall: 38.93%
Average accuracy: 96.95%

jpeg

s01 ['s01', 's24', 's29', 's29', 's01', 's39', 's01'] Recall: 42.86% Accuracy: 83.93%
s02 ['s01', 's01', 's01', 's01', 's01', 's01', 's01'] Recall: 0.00% Accuracy: 97.50%
s03 ['s23', 's23', 's29', 's05', 's29', 's29', 's29'] Recall: 0.00% Accuracy: 97.14%
s04 ['s23', 's35', 's26', 's29', 's25', 's25', 's35'] Recall: 0.00% Accuracy: 97.50%
s05 ['s23', 's23', 's23', 's25', 's23', 's05', 's05'] Recall: 28.57% Accuracy: 91.79%
s06 ['s23', 's23', 's23', 's23', 's35', 's23', 's23'] Recall: 0.00% Accuracy: 97.50%
s07 ['s29', 's29', 's29', 's29', 's01', 's01', 's29'] Recall: 0.00% Accuracy: 97.50%
s08 ['s08', 's08', 's08', 's08', 's08', 's08', 's08'] Recall: 100.00% Accuracy: 96.43%
s09 ['s05', 's05', 's05', 's05', 's29', 's05', 's29'] Recall: 0.00% Accuracy: 97.50%
s10 ['s08', 's08', 's08', 's08', 's08', 's39', 's08'] Recall: 0.00% Accuracy: 97.50%
s11 ['s24', 's24', 's24', 's24', 's24', 's39', 's24'] Recall: 0.00% Accuracy: 97.50%
s12 ['s29', 's29', 's29', 's29', 's29', 's26', 's29'] Recall: 0.00% Accuracy: 97.50%
s13 ['s29', 's35', 's29', 's05', 's26', 's29', 's26'] Recall: 0.00% Accuracy: 97.50%
s14 ['s24', 's24', 's01', 's01', 's24', 's01', 's01'] Recall: 0.00% Accuracy: 97.50%
s15 ['s01', 's29', 's39', 's35', 's39', 's23', 's23'] Recall: 0.00% Accuracy: 97.50%
s16 ['s29', 's29', 's24', 's24', 's24', 's24', 's24'] Recall: 0.00% Accuracy: 97.50%
s17 ['s24', 's24', 's24', 's01', 's01', 's24', 's01'] Recall: 0.00% Accuracy: 97.50%
s18 ['s23', 's25', 's05', 's05', 's23', 's05', 's05'] Recall: 0.00% Accuracy: 97.50%
s19 ['s24', 's24', 's01', 's24', 's01', 's01', 's24'] Recall: 0.00% Accuracy: 97.50%
s20 ['s23', 's29', 's23', 's29', 's29', 's29', 's23'] Recall: 0.00% Accuracy: 97.50%
s21 ['s29', 's29', 's21', 's29', 's05', 's05', 's29'] Recall: 14.29% Accuracy: 97.86%
s22 ['s39', 's24', 's39', 's24', 's29', 's39', 's39'] Recall: 0.00% Accuracy: 97.50%
s23 ['s23', 's23', 's23', 's23', 's23', 's05', 's23'] Recall: 85.71% Accuracy: 84.29%
s24 ['s01', 's24', 's01', 's01', 's01', 's01', 's01'] Recall: 14.29% Accuracy: 82.50%
s25 ['s23', 's23', 's23', 's23', 's23', 's23', 's23'] Recall: 0.00% Accuracy: 95.71%
s26 ['s23', 's25', 's23', 's29', 's08', 's29', 's26'] Recall: 14.29% Accuracy: 93.21%
s27 ['s24', 's01', 's24', 's24', 's24', 's24', 's24'] Recall: 0.00% Accuracy: 97.50%
s28 ['s01', 's24', 's08', 's24', 's26', 's29', 's29'] Recall: 0.00% Accuracy: 97.50%
s29 ['s26', 's29', 's26', 's26', 's29', 's23', 's23'] Recall: 28.57% Accuracy: 76.43%
s30 ['s23', 's23', 's35', 's23', 's23', 's30', 's24'] Recall: 14.29% Accuracy: 97.86%
s31 ['s35', 's29', 's29', 's29', 's29', 's29', 's29'] Recall: 0.00% Accuracy: 97.50%
s32 ['s26', 's01', 's01', 's01', 's24', 's01', 's01'] Recall: 0.00% Accuracy: 97.50%
s33 ['s29', 's24', 's39', 's29', 's29', 's29', 's29'] Recall: 0.00% Accuracy: 97.50%
s34 ['s01', 's01', 's24', 's24', 's01', 's24', 's08'] Recall: 0.00% Accuracy: 97.50%
s35 ['s35', 's29', 's26', 's23', 's29', 's29', 's29'] Recall: 14.29% Accuracy: 95.00%
s36 ['s01', 's29', 's01', 's01', 's01', 's29', 's01'] Recall: 0.00% Accuracy: 97.50%
s37 ['s24', 's24', 's24', 's05', 's24', 's29', 's26'] Recall: 0.00% Accuracy: 97.50%
s38 ['s05', 's23', 's26', 's03', 's29', 's23', 's23'] Recall: 0.00% Accuracy: 97.50%
s39 ['s39', 's26', 's35', 's08', 's39', 's29', 's29'] Recall: 28.57% Accuracy: 94.64%
s40 ['s23', 's29', 's23', 's05', 's23', 's05', 's23'] Recall: 0.00% Accuracy: 97.50%
Average recall: 9.64%
Average accuracy: 95.48%

png

s01 ['s01', 's13', 's01', 's19', 's01', 's19', 's01'] Recall: 57.14% Accuracy: 98.93%
s02 ['s02', 's04', 's02', 's02', 's02', 's04', 's02'] Recall: 71.43% Accuracy: 98.21%
s03 ['s23', 's29', 's04', 's04', 's12', 's04', 's18'] Recall: 0.00% Accuracy: 97.50%
s04 ['s18', 's04', 's18', 's04', 's04', 's04', 's04'] Recall: 71.43% Accuracy: 88.57%
s05 ['s05', 's05', 's05', 's05', 's33', 's23', 's23'] Recall: 57.14% Accuracy: 98.57%
s06 ['s15', 's06', 's06', 's06', 's06', 's06', 's06'] Recall: 85.71% Accuracy: 97.50%
s07 ['s07', 's02', 's07', 's07', 's07', 's07', 's07'] Recall: 85.71% Accuracy: 99.64%
s08 ['s23', 's08', 's23', 's08', 's08', 's08', 's23'] Recall: 57.14% Accuracy: 98.57%
s09 ['s09', 's09', 's09', 's04', 's09', 's09', 's04'] Recall: 71.43% Accuracy: 99.29%
s10 ['s10', 's15', 's06', 's10', 's10', 's10', 's30'] Recall: 57.14% Accuracy: 98.93%
s11 ['s11', 's11', 's11', 's11', 's11', 's11', 's11'] Recall: 100.00% Accuracy: 98.57%
s12 ['s12', 's12', 's04', 's12', 's12', 's12', 's12'] Recall: 85.71% Accuracy: 99.29%
s13 ['s13', 's04', 's04', 's13', 's13', 's04', 's04'] Recall: 42.86% Accuracy: 98.21%
s14 ['s14', 's14', 's37', 's37', 's37', 's11', 's37'] Recall: 28.57% Accuracy: 98.21%
s15 ['s15', 's15', 's15', 's15', 's15', 's15', 's15'] Recall: 100.00% Accuracy: 93.57%
s16 ['s32', 's32', 's19', 's22', 's16', 's15', 's22'] Recall: 14.29% Accuracy: 97.86%
s17 ['s17', 's04', 's04', 's04', 's23', 's06', 's15'] Recall: 14.29% Accuracy: 97.86%
s18 ['s04', 's18', 's04', 's04', 's18', 's18', 's30'] Recall: 42.86% Accuracy: 97.50%
s19 ['s29', 's29', 's19', 's19', 's19', 's08', 's19'] Recall: 57.14% Accuracy: 97.14%
s20 ['s15', 's04', 's15', 's04', 's06', 's04', 's20'] Recall: 14.29% Accuracy: 97.86%
s21 ['s33', 's33', 's15', 's33', 's33', 's33', 's33'] Recall: 0.00% Accuracy: 97.50%
s22 ['s22', 's22', 's22', 's22', 's22', 's22', 's22'] Recall: 100.00% Accuracy: 98.93%
s23 ['s29', 's29', 's29', 's29', 's23', 's23', 's23'] Recall: 42.86% Accuracy: 95.00%
s24 ['s29', 's29', 's24', 's24', 's24', 's24', 's24'] Recall: 71.43% Accuracy: 99.29%
s25 ['s29', 's25', 's25', 's25', 's25', 's25', 's25'] Recall: 85.71% Accuracy: 99.64%
s26 ['s26', 's33', 's26', 's26', 's23', 's11', 's26'] Recall: 57.14% Accuracy: 98.93%
s27 ['s27', 's27', 's04', 's04', 's04', 's04', 's27'] Recall: 42.86% Accuracy: 98.57%
s28 ['s28', 's37', 's37', 's37', 's19', 's37', 's37'] Recall: 14.29% Accuracy: 97.86%
s29 ['s29', 's02', 's15', 's06', 's15', 's29', 's29'] Recall: 42.86% Accuracy: 90.71%
s30 ['s29', 's29', 's29', 's29', 's29', 's29', 's29'] Recall: 0.00% Accuracy: 96.79%
s31 ['s32', 's32', 's33', 's23', 's33', 's05', 's32'] Recall: 0.00% Accuracy: 97.50%
s32 ['s15', 's32', 's32', 's15', 's32', 's02', 's32'] Recall: 57.14% Accuracy: 95.71%
s33 ['s33', 's33', 's33', 's33', 's33', 's33', 's33'] Recall: 100.00% Accuracy: 92.14%
s34 ['s15', 's15', 's32', 's15', 's32', 's32', 's32'] Recall: 0.00% Accuracy: 97.50%
s35 ['s29', 's19', 's33', 's33', 's33', 's22', 's04'] Recall: 0.00% Accuracy: 97.50%
s36 ['s15', 's15', 's11', 's15', 's36', 's04', 's11'] Recall: 14.29% Accuracy: 97.86%
s37 ['s37', 's37', 's37', 's37', 's37', 's37', 's37'] Recall: 100.00% Accuracy: 96.79%
s38 ['s04', 's33', 's33', 's33', 's06', 's33', 's33'] Recall: 0.00% Accuracy: 97.50%
s39 ['s39', 's15', 's06', 's33', 's33', 's29', 's33'] Recall: 14.29% Accuracy: 97.86%
s40 ['s33', 's29', 's04', 's29', 's04', 's29', 's23'] Recall: 0.00% Accuracy: 97.50%
Average recall: 46.43%
Average accuracy: 97.32%
